MSA_ID,ra,dec,prism_4,Mgrat_4,prism_5,Mgrat_5,prism_7,Mgrat_7,prism_8,Mgrat_8,prism_9,Mgrat_9,prism_10,Mgrat_10,prism_11,prism_12
001410,215.2321183,53.0573686,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001411,215.0395489,52.9221473,False,False,False,False,False,False,False,False,True,False,False,False,False,False
001414,215.1280288,52.9849365,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001420,215.0928636,52.9606975,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001422,214.9963691,52.8929379,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001426,215.0231435,52.9126767,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001433,215.2248759,53.0555927,False,False,False,False,True,False,False,False,False,False,False,False,False,False
001443,214.9067001,52.8325518,False,False,False,False,False,False,False,False,False,False,True,True,False,False
001448,214.9940686,52.8958151,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001449,215.080005,52.956786,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001452,215.2261665,53.0602231,False,False,False,False,True,False,False,False,False,False,False,False,False,False
001465,214.8880049,52.8882513,True,True,False,False,False,False,False,False,False,False,False,False,False,False
001467,215.0029264,52.9694972,False,False,True,False,False,False,False,False,False,False,False,False,False,False
001477,215.0034914,52.9695391,False,False,False,True,False,False,False,False,False,False,False,False,False,False
001509,214.816417,52.8308306,True,True,False,False,False,False,False,False,False,False,False,False,False,False
001518,215.006802,52.9650411,False,False,True,False,False,False,False,False,False,False,False,False,False,False
001534,214.8861409,52.8769248,True,False,False,False,False,False,False,False,False,False,False,False,False,False
001536,214.9772267,52.9407821,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001538,215.007626,52.9633924,False,False,False,True,False,False,False,False,False,False,False,False,False,False
001539,214.9800779,52.942659,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001544,215.0616558,52.9995867,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001558,214.8306372,52.8352969,True,False,False,False,False,False,False,False,False,False,False,False,False,False
001559,215.0648616,52.9998358,False,False,False,False,False,False,False,True,False,False,False,False,False,False
001561,215.1660971,53.0707553,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001565,215.057502,52.9937149,False,False,True,False,False,False,False,False,False,False,False,False,False,False
001568,214.9012899,52.8821086,False,False,False,False,False,False,False,False,False,False,True,False,False,False
001605,215.0754073,52.9975786,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001615,214.9841598,52.9343755,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001617,215.0713061,52.992295,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001620,215.087173,53.002892,False,False,False,False,False,False,True,False,False,False,False,False,False,False
001626,215.0710921,52.9903228,False,False,True,True,False,False,False,False,False,False,False,False,False,False
001634,215.02111,52.9569223,False,False,False,True,False,False,False,False,False,False,False,False,False,False
001651,215.1692172,53.0547657,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001658,214.9852372,52.924259,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001665,215.1781971,53.0593487,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001672,214.744637,52.7503136,False,False,False,False,False,False,False,False,False,False,False,False,False,True
001677,215.1887384,53.0643782,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001691,215.1854288,53.0593709,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001699,215.0533477,52.9648857,False,False,True,False,False,False,False,False,False,False,False,False,False,False
001706,215.1195558,53.0100982,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001723,215.0028457,52.9243058,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001732,215.2128103,53.0712112,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001743,215.1547817,53.0289492,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001744,214.9776459,52.9034871,False,False,False,False,False,False,False,False,True,False,False,False,False,False
001746,215.0540062,52.9568667,False,False,False,True,False,False,False,False,False,False,False,False,False,False
001756,214.753362,52.740989,False,False,False,False,False,False,False,False,False,False,False,False,False,True
001759,215.036439,52.941751,False,False,False,False,False,False,False,False,True,False,False,False,False,False
001767,215.1727576,53.0357884,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001779,214.8776148,52.8254619,False,False,False,False,False,False,False,False,False,False,True,False,False,False
001785,214.9101743,52.8468051,False,False,False,False,False,False,False,False,False,False,True,False,False,False
001791,215.2155324,53.0612394,False,False,False,False,True,False,False,False,False,False,False,False,False,False
001809,215.2350597,53.0731143,False,False,False,False,True,False,False,False,False,False,False,False,False,False
001811,215.0001635,52.9077269,False,False,False,False,False,False,False,False,True,False,False,False,False,False
